year_month,price,age,dist_to_mrt,no_stores
2012-08,32.1,7.1,2175.03,3
2012-08,40.3,34.5,623.4731,7
2012-08,23.8,20.4,2469.645,4
2012-08,47.7,1.5,23.38284,7
2012-08,56.2,3.1,383.8624,5
2012-08,47.7,3.1,577.9615,6
2012-08,13.2,29.4,4510.359,1
2012-08,30.5,32.7,392.4459,6
2012-08,53.3,30.6,143.8383,8
2012-08,42.2,33.4,186.9686,6
2012-08,42.5,12.9,492.2313,5
2012-08,39.7,34.9,179.4538,8
2012-08,37.4,15.5,815.9314,4
2012-08,15.5,26.9,4449.27,0
2012-08,46.1,15.6,289.3248,5
2012-08,25.9,30.4,1735.595,2
2012-08,51.8,1.1,329.9747,5
2012-08,26.5,14.6,339.2289,1
2012-08,49.7,1.5,23.38284,7
2012-08,42.5,12.6,383.2805,7
2012-08,31.3,12.4,1712.632,2
2012-08,53.5,5.7,90.45606,9
2012-08,37.9,0,185.4296,0
2012-08,47.1,32.9,87.30222,10
2012-08,22.8,20.2,2185.128,3
2012-08,40.3,29.1,506.1144,4
2012-08,31.9,37.1,918.6357,1
2012-08,39.7,30.9,161.942,9
2012-08,37.2,23,130.9945,6
2012-08,50,5.6,90.45606,9
2012-09,37.4,17.7,350.8515,1
2012-09,25,29.6,769.4034,7
2012-09,34.2,37.9,488.5727,1
2012-09,55.1,15.4,205.367,7
2012-09,34.1,34.4,512.7871,6
2012-09,50.8,0,338.9679,9
2012-09,45.7,0,208.3905,6
2012-09,46.8,11.4,390.5684,5
2012-09,52.2,0,185.4296,0
2012-09,43.2,3.2,489.8821,8
2012-09,11.6,16,4066.587,0
2012-09,21.8,14.1,2615.465,0
2012-09,21.5,31.4,1447.286,3
2012-09,26.2,11.5,1360.139,1
2012-09,40.2,29.3,529.7771,8
2012-09,39.3,12.9,250.631,7
2012-09,40.5,13,492.2313,5
2012-09,44,0,208.3905,6
2012-09,34.1,12.5,1144.436,4
2012-09,35.7,38,461.7848,0
2012-09,37.5,15.6,752.7669,2
2012-09,18.6,13.5,4197.349,0
2012-09,38.4,7.8,104.8101,5
2012-09,47,7.8,104.8101,5
2012-09,24.8,14.2,1801.544,1
2012-09,42.1,15.9,289.3248,5
2012-09,12.9,16.1,4066.587,0
2012-10,43.1,5,390.5684,5
2012-10,13.7,31.7,1160.632,0
2012-10,42,12.5,561.9845,5
2012-10,25.6,20.5,2185.128,3
2012-10,27,1.8,1455.798,1
2012-10,45.4,0,274.0144,1
2012-10,32.9,12.7,170.1289,1
2012-10,71,0,292.9978,6
2012-10,39.5,18,373.3937,8
2012-10,55.2,0,185.4296,0
2012-10,19.2,13.9,4573.779,0
2012-10,40.9,34.8,175.6294,8
2012-10,14.7,16.2,4074.736,0
2012-10,33.4,2,2077.39,3
2012-10,15,18,6306.153,1
2012-10,52.7,5.9,90.45606,9
2012-10,38.1,15.7,815.9314,4
2012-10,41.1,34.7,482.7581,5
2012-10,54.4,3.4,56.47425,7
2012-10,28.5,34.9,567.0349,4
2012-10,24.7,10.3,3079.89,0
2012-10,23.6,15.9,1497.713,3
2012-10,35.6,5.1,1867.233,2
2012-10,30.9,31.3,600.8604,5
2012-10,53.7,4.6,259.6607,6
2012-10,28.6,4,2180.245,3
2012-10,25.7,18.4,2674.961,3
2012-10,45.3,10.3,211.4473,1
2012-10,20.9,15,1828.319,2
2012-10,55.3,0,185.4296,0
2012-10,28.5,12.7,187.4823,1
2012-11,37.9,32,84.87882,10
2012-11,42.2,19.5,306.5947,9
2012-11,39.3,13,492.2313,5
2012-11,24.6,14.7,1360.139,1
2012-11,22.9,14.7,1935.009,2
2012-11,53.5,3.5,56.47425,7
2012-11,27.7,17.2,2175.877,3
2012-11,54.4,6.8,379.5575,10
2012-11,29.8,38.2,552.4371,2
2012-11,17.7,25.3,2707.392,3
2012-11,48,8.9,1406.43,0
2012-11,21.8,20.6,2469.645,4
2012-11,16.1,31.9,1146.329,0
2012-11,41,40.9,167.5989,5
2012-11,51.8,8,104.8101,5
2012-11,57.4,9.9,279.1726,7
2012-11,20.8,18.9,1009.235,0
2012-11,45.5,2.1,451.2438,5
2012-11,57.8,3.5,49.66105,8
2012-11,30.6,13.7,1236.564,1
2012-11,44.3,34.8,190.0392,8
2012-11,20.5,16.3,4066.587,0
2012-11,31.5,38.3,642.6985,3
2012-11,40.8,28,372.6242,6
2012-11,40.2,32.4,265.0609,8
2012-11,17.4,27.1,4412.765,1
2012-11,13.8,31.7,1159.454,0
2012-11,53,15.9,289.3248,5
2012-11,26.5,17.7,451.6419,8
2012-11,25.6,2,1455.798,1
2012-11,34.4,15,383.2805,7
2012-11,56.3,5.9,90.45606,9
2012-11,37.7,16.9,964.7496,4
2012-11,22.8,30,1013.341,5
2012-11,36.3,31.5,258.186,9
2012-11,29.5,17.3,2261.432,4
2012-11,42.5,21.2,512.5487,4
2012-11,37.3,12.7,170.1289,1
2013-01,41.4,34.8,405.2134,1
2013-01,47.9,10.1,279.1726,7
2013-01,27,29.3,1487.868,2
2013-01,57.1,7.1,451.2438,5
2013-01,38.3,36.6,488.8193,8
2013-01,20.7,31.3,1758.406,1
2013-01,38.9,13.3,492.2313,5
2013-01,51.7,16.1,289.3248,5
2013-01,42.4,13.3,336.0532,5
2013-01,40.8,35.5,640.7391,3
2013-01,48.1,13.2,150.9347,7
2013-01,43.7,15.1,383.2805,7
2013-01,34.6,28.4,617.4424,3
2013-01,54.4,1.1,193.5845,6
2013-01,47.1,17.2,189.5181,8
2013-01,51.6,8.1,104.8101,5
2013-01,46.4,20.6,737.9161,2
2013-01,62.9,38.6,804.6897,4
2013-01,60.7,41.3,124.9912,6
2013-01,28.4,11.9,1360.139,1
2013-01,37.4,27.6,515.1122,5
2013-01,58.8,3.6,383.8624,5
2013-01,35.1,41.3,401.8807,4
2013-01,36.5,30.2,472.1745,3
2013-01,42,33,181.0766,9
2013-01,42.6,14,438.8513,1
2013-01,39.1,34,157.6052,7
2013-01,21.4,12.8,1449.722,3
2013-01,34.2,38.5,665.0636,3
2013-01,43.5,0,274.0144,1
2013-01,58,6.2,90.45606,9
2013-01,40.6,12.8,732.8528,0
2013-01,28.8,11,1712.632,2
2013-01,21.7,4.8,1559.827,3
2013-01,28.8,17.7,837.7233,0
2013-01,37,37.7,490.3446,0
2013-01,24.5,17.5,395.6747,5
2013-01,36.9,2.5,156.2442,4
2013-01,55,16.2,289.3248,5
2013-01,27.3,15.6,1756.411,2
2013-01,38.1,36.6,488.8193,8
2013-01,12.8,32,1156.777,0
2013-01,63.3,41.4,281.205,8
2013-01,52.2,0,274.0144,1
2013-01,35.3,42.7,443.802,6
2013-01,27.7,7.6,2175.03,3
2013-02,25.3,12,1360.139,1
2013-02,46.2,16.2,289.3248,5
2013-02,20,13.8,4082.015,0
2013-02,31.3,13.3,492.2313,5
2013-02,48.6,1.1,193.5845,6
2013-02,37.5,26.6,482.7581,5
2013-02,43.5,10,942.4664,0
2013-02,15.6,13.8,4082.015,0
2013-02,55.9,11.6,201.8939,8
2013-02,25.7,20.9,2185.128,3
2013-02,37.8,13.2,750.0704,2
2013-02,42.7,43.8,57.58945,7
2013-02,61.9,3.6,373.8389,10
2013-02,39,13,732.8528,0
2013-02,30,39.2,424.7132,7
2013-02,24.4,16.2,2288.011,3
2013-02,40.6,32.6,493.657,7
2013-02,41,27.5,394.0173,7
2013-02,55.3,30.1,718.2937,3
2013-02,21.8,18.2,2179.59,3
2013-02,46.1,33.2,121.7262,10
2013-02,42.2,21.3,537.7971,4
2013-02,39.6,39.8,617.7134,2
2013-02,45.1,1.1,193.5845,6
2013-02,40.5,1.9,372.1386,7
2013-03,70.1,0,292.9978,6
2013-03,33.6,10.4,276.449,5
2013-03,49.3,16.5,323.655,6
2013-03,43.2,9.1,1402.016,0
2013-03,32.5,31.5,414.9476,4
2013-03,55,3.8,383.8624,5
2013-03,37.5,29.6,535.527,8
2013-03,51.4,16.2,289.3248,5
2013-03,48.5,35.8,170.7311,7
2013-03,40.9,6.5,376.1709,6
2013-03,35.6,16.1,815.9314,4
2013-03,48.2,34.4,126.7286,8
2013-03,44,22.2,379.5575,10
2013-03,39.7,37.8,590.9292,1
2013-03,42.3,9.1,1402.016,0
2013-03,49,1.1,193.5845,6
2013-03,23.9,8,2216.612,4
2013-03,43.9,17.3,444.1334,1
2013-03,30.7,17,1485.097,4
2013-03,23.7,17.8,1783.18,3
2013-03,45.4,2.3,184.3302,6
2013-03,19.1,30.3,1264.73,0
2013-03,41.6,3.7,577.9615,6
2013-03,42,13.3,250.631,7
2013-03,26.9,34.6,272.6783,5
2013-03,60.7,3.8,383.8624,5
2013-03,49.5,5.4,390.5684,5
2013-03,23.8,21.7,1157.988,0
2013-03,25.6,16.2,2103.555,3
2013-03,67.7,40.9,122.3619,8
2013-03,35.5,26.8,482.7581,5
2013-03,40.6,18.8,390.9696,7
2013-04,58.1,6.3,90.45606,9
2013-04,25.3,17.5,995.7554,0
2013-04,26.6,12.2,1360.139,1
2013-04,7.6,14.8,393.2606,6
2013-04,28.9,5.1,1559.827,3
2013-04,28.9,12,1360.139,1
2013-04,14.4,24,4527.687,0
2013-04,34.6,15.2,461.1016,5
2013-04,31.1,17.6,1805.665,2
2013-04,48.1,19.2,383.7129,8
2013-04,78.3,37.2,186.5101,9
2013-04,38.5,9,1402.016,0
2013-04,46,34.5,324.9419,6
2013-04,32.4,39.7,333.3679,9
2013-04,23.1,21.7,1055.067,0
2013-04,117.5,10.8,252.5822,1
2013-04,44.8,4.7,387.7721,9
2013-04,44.5,13.9,289.3248,5
2013-04,16.7,16.7,4082.015,0
2013-04,42.8,8.3,104.8101,5
2013-04,49.8,7.1,379.5575,10
2013-04,15.6,25.6,4519.69,0
2013-04,50.4,1.7,329.9747,5
2013-04,42.9,33.6,270.8895,0
2013-04,56.8,3.9,49.66105,8
2013-04,37.4,37.3,587.8877,8
2013-04,69.7,0,292.9978,6
2013-04,53.3,14.1,289.3248,5
2013-04,41.2,16.4,289.3248,5
2013-05,46.7,20.3,287.6025,6
2013-05,22.1,17.9,1783.18,3
2013-05,42.3,16.9,368.1363,8
2013-05,29.3,4.5,2275.877,3
2013-05,51.6,10.5,279.1726,7
2013-05,34.7,36.1,519.4617,5
2013-05,42,21.7,463.9623,9
2013-05,13.4,24.2,4605.749,0
2013-05,44.2,21.7,512.5487,4
2013-05,41.9,33.6,371.2495,8
2013-05,21.3,11,1931.207,2
2013-05,44.3,40.1,123.7429,8
2013-05,36.2,30.4,464.223,6
2013-05,59.5,6.4,90.45606,9
2013-05,51,16.4,289.3248,5
2013-05,62.2,6.4,90.45606,9
2013-05,34.1,31.4,592.5006,2
2013-05,23.1,9.9,2102.427,3
2013-05,45.5,0,185.4296,0
2013-05,41,38.5,216.8329,7
2013-05,37.5,19.8,640.6071,5
2013-05,39.6,19.2,616.4004,3
2013-05,73.6,0,292.9978,6
2013-05,43.4,28.2,330.0854,8
2013-05,23.5,8.4,1962.628,1
2013-05,45.2,4.3,432.0385,7
2013-05,49.3,9.7,421.479,5
2013-05,31.6,18.2,451.6419,8
2013-05,25.5,17.4,995.7554,0
2013-05,45.9,13.1,561.9845,5
2013-05,43.8,13.6,492.2313,5
2013-05,46.6,11.9,3171.329,0
2013-05,48.2,32.8,204.1705,8
2013-05,40.8,7.5,639.6198,5
2013-05,40.6,16.4,389.8219,6
2013-05,17.4,31.5,5512.038,1
2013-05,63.3,0,292.9978,6
2013-05,31.7,3.9,2147.376,3
2013-05,40.1,17.2,390.5684,5
2013-05,29.3,13.2,170.1289,1
2013-05,27.7,21.2,2185.128,3
2013-05,31.1,2.6,1554.25,3
2013-05,23.5,33.5,1978.671,2
2013-05,29.4,20,1626.083,3
2013-05,53,16.4,289.3248,5
2013-05,42.5,28.6,197.1338,6
2013-05,36.7,3.5,757.3377,3
2013-05,30.8,13.2,1712.632,2
2013-05,30.1,12.2,1360.139,1
2013-05,44.9,0,338.9679,9
2013-05,40,17.1,967.4,4
2013-05,33.1,35.3,614.1394,7
2013-05,43.1,18.2,350.8515,1
2013-05,30.5,14.7,1717.193,2
2013-05,47.3,8,132.5469,9
2013-05,32.2,13.1,1164.838,4
2013-05,23,14.7,1717.193,2
2013-05,28.1,18.5,2175.744,3
2013-06,54.8,13.3,561.9845,5
2013-06,18.8,31.7,5512.038,1
2013-06,34.3,13.2,1164.838,4
2013-06,47,19.2,557.478,4
2013-06,22.1,25.9,4519.69,0
2013-06,27.3,13.9,4079.418,0
2013-06,18.2,16.8,4066.587,0
2013-06,22.6,30.3,4510.359,1
2013-06,63.2,5.3,259.6607,6
2013-06,56.8,8.5,104.8101,5
2013-06,29.5,12.3,1360.139,1
2013-06,40.3,11.8,533.4762,4
2013-06,25.3,23,3947.945,0
2013-06,38.2,17.5,964.7496,4
2013-06,30.6,25.3,1583.722,3
2013-06,59.6,16.6,289.3248,5
2013-06,48,13.6,492.2313,5
2013-06,30.7,4,2147.376,3
2013-06,47.4,13.6,319.0708,6
2013-06,40.1,13.6,492.2313,5
2013-06,45.1,16.4,3780.59,0
2013-06,44.7,4.9,387.7721,9
2013-06,20.7,16.9,4066.587,0
2013-06,55.5,8.5,104.8101,5
2013-06,36.7,13.1,1144.436,4
2013-06,23.6,13.5,2147.376,3
2013-06,18.8,17,4082.015,0
2013-06,42.3,35.3,616.5735,8
2013-06,29.3,15.2,3771.895,0
2013-06,52.2,5.2,390.5684,5
